model,host_alias,source_id,token_count,score
gpt-oss:latest,bywater,6109b5c8544db89e,32597,0.0
gpt-oss:latest,deepwater,224726bec5c26d23,129487,0.0
gpt-oss:latest,bywater,fbd31af291bee2c4,27652,0.0
gpt-oss:latest,bywater,3fee926e3411eb82,5463,0.0
gpt-oss:latest,bywater,373a4663b87fc0f2,14191,0.0
gpt-oss:latest,bywater,92e98ba798830108,33377,0.2
gpt-oss:latest,bywater,7888c4134cc98bc6,39089,0.0
gpt-oss:latest,bywater,7d5ecffbf9fc8378,39665,0.0
gpt-oss:latest,bywater,e40961f17f905e12,52267,0.0
gpt-oss:latest,bywater,f85c663e53990930,57521,0.2
gpt-oss:latest,bywater,edfbc4f45d53acc0,69035,0.2
gpt-oss:latest,bywater,7baed1f1f71e323a,70057,0.0
gpt-oss:latest,bywater,0bd1ae5ac36914da,67454,0.0
gpt-oss:latest,bywater,348720498ac46980,94646,0.2
gpt-oss:latest,bywater,575c269c2a40911e,90836,0.0
gpt-oss:latest,bywater,02e63a2f2fc247d0,61720,0.2
gpt-oss:latest,bywater,5dafb48fe93f0a2e,103375,0.2
gpt-oss:latest,bywater,30f2b3fe9afa1dd8,119122,0.0
gpt-oss:latest,bywater,60740bd3b82c478e,115562,0.0
gpt-oss:latest,bywater,02fad2c24aa64146,57614,0.0
gpt-oss:latest,bywater,0a040ce02baea0c0,797,0.8
gpt-oss:latest,bywater,781b5bb2afb78c18,7117,0.0
gpt-oss:latest,bywater,2fdb74a46e6c6164,38983,0.0
gpt-oss:latest,bywater,1bde1d2b9bf55ef6,1582,1.0
gpt-oss:latest,bywater,2c17d50233c19bfe,49489,0.2
gpt-oss:latest,bywater,20b0bbf1c1e7b842,835,0.4
gpt-oss:latest,bywater,3052d859aa2275aa,14575,0.0
gemma4:latest,deepwater,60740bd3b82c478e,115562,0.0
gemma4:latest,deepwater,d52a472083d5483b,126332,0.0
gpt-oss:latest,bywater,1f1a08b291f9ff92,4484,0.4
gpt-oss:latest,bywater,05e962961e864ff4,2464,0.4
gpt-oss:latest,bywater,128df24fe407b3f6,589,0.8
gpt-oss:latest,bywater,37ede2181d67b068,748,1.0
gpt-oss:latest,bywater,658b4bf748124550,12846,0.2
gpt-oss:latest,deepwater,0fb47e118eaf9c6d,145511,0.0
gpt-oss:latest,bywater,4d0a20e2088f2902,5517,0.0
gpt-oss:latest,bywater,476cb804440b06c2,44972,0.2
gpt-oss:latest,bywater,53e1febec460a636,1762,1.0
gpt-oss:latest,bywater,414c6467b7793a14,3062,0.6
gpt-oss:latest,bywater,58f88770f6aded5c,12078,0.0
gpt-oss:latest,bywater,4f982dfe7069d046,2659,0.2
gpt-oss:latest,bywater,57a805370ea0737e,598,1.0
gpt-oss:latest,bywater,6ad3dd0c3f431874,62888,0.2
gpt-oss:latest,bywater,57f538fc8d639dba,3292,0.6
gpt-oss:latest,bywater,4140c397caa5bb5c,1094,0.8
gpt-oss:latest,bywater,77a98f2d0b4c33d2,5332,0.0
gpt-oss:latest,deepwater,08837ee9084057e5,7788,0.0
gpt-oss:latest,bywater,8ebc4c9e210a22f8,7576,0.0
gpt-oss:latest,deepwater,0b6450551fc145bd,57258,0.0
gpt-oss:latest,bywater,76bd73e58e51bdcc,9346,0.4
gpt-oss:latest,deepwater,090c12c71a57eea9,896,1.0
gpt-oss:latest,deepwater,1331bc288059434f,3987,1.0
gpt-oss:latest,bywater,8f8766c2304b7f80,698,1.0
gpt-oss:latest,deepwater,1be319f52bc7794b,84011,0.2
gpt-oss:latest,deepwater,1b30c02dad523501,69552,0.2
gpt-oss:latest,deepwater,1e549964b0d1ffb3,650,1.0
gpt-oss:latest,bywater,896a1863dd0562b6,2098,0.2
gpt-oss:latest,bywater,9abd149f6b150fc0,782,1.0
gpt-oss:latest,bywater,aebfaeb53a59f2d0,15063,0.0
gpt-oss:latest,bywater,a91421549f5624aa,1877,1.0
gpt-oss:latest,bywater,b2393b52ce6c4f8c,1088,0.2
gpt-oss:latest,deepwater,269c15d175b31c53,6689,0.2
gpt-oss:latest,bywater,947e4610d64a8916,1194,0.8
gpt-oss:latest,bywater,b48156ea8c0a4912,8825,0.0
gpt-oss:latest,deepwater,140a70ee3e93ba11,6612,0.2
gpt-oss:latest,deepwater,3f9f00be54ca44ff,1539,1.0
gpt-oss:latest,bywater,93b1efb9b0190a90,1521,0.8
gpt-oss:latest,deepwater,46717a20176e4cbf,1763,0.8
gpt-oss:latest,bywater,c6d5ba1bd4e6319a,2895,1.0
gpt-oss:latest,deepwater,4c8e024fce3fc5d9,678,0.8
gpt-oss:latest,bywater,d6147259174b6314,126203,0.4
gpt-oss:latest,bywater,d8d4ee7faa03eca8,10040,0.0
gpt-oss:latest,deepwater,31c6b3277cd42ea1,789,1.0
gpt-oss:latest,deepwater,467a66e3a5d1e345,3781,0.2
gpt-oss:latest,bywater,c708a2c263b5ce96,1559,0.6
gpt-oss:latest,deepwater,4eb2e0c8ddd332bf,19830,0.2
gpt-oss:latest,deepwater,5a7fae1db3eaf41d,40582,0.0
gpt-oss:latest,deepwater,6c0b1e7f7de25467,762,0.8
gpt-oss:latest,bywater,d8f52fc0bab5592e,49184,0.0
gpt-oss:latest,deepwater,500c8c0456b3da81,2233,0.4
gpt-oss:latest,deepwater,61740f98a6d09f53,2472,0.6
gpt-oss:latest,bywater,f01bd980db82a7ea,1233,0.8
gpt-oss:latest,bywater,c54798a03a2a8160,1981,1.0
gpt-oss:latest,bywater,f29cfabfdec0ce2e,667,0.8
gpt-oss:latest,bywater,fa6fa9360b97a854,129213,0.2
gpt-oss:latest,bywater,fb5832b1c605abbe,1265,0.8
gpt-oss:latest,deepwater,82eae29747e859c5,3448,0.2
gpt-oss:latest,bywater,f83d5bff2570c20c,1205,0.4
gpt-oss:latest,deepwater,e0747c2debe92a1d,146639,0.0
gpt-oss:latest,bywater,fd864b64a6209418,19339,0.2
gpt-oss:latest,deepwater,7c180ccb51507a6b,3322,0.8
gpt-oss:latest,deepwater,9c3549642901c7e1,2324,1.0
gpt-oss:latest,deepwater,9f36246edafc9871,138902,0.0
gpt-oss:latest,deepwater,aa56b83051de4c93,739,1.0
gpt-oss:latest,deepwater,a77d7de7a45d464b,5323,0.6
gpt-oss:latest,deepwater,ba0d577246b2d4e1,65365,0.2
gpt-oss:latest,deepwater,d4bf61f86b7f43f9,1126,1.0
gpt-oss:latest,deepwater,e6229fb9d86212a3,1114,1.0
gpt-oss:latest,deepwater,ebc73fb557352fdf,1098,1.0
gpt-oss:latest,deepwater,f620043b541185e7,503,1.0
qwen3.6:latest,deepwater,a2a1bf0800e76a45,49594,0.2
qwen3.6:latest,deepwater,0bd1ae5ac36914da,67454,0.2
qwen3.6:latest,deepwater,476cb804440b06c2,44972,0.2
qwen3.6:latest,deepwater,f126b14810f9588c,20834,0.8
qwen3.6:latest,deepwater,7d5ecffbf9fc8378,39665,0.4
qwen3.6:latest,deepwater,6f6cc4585849811f,73505,0.2
qwen3.6:latest,deepwater,ad9e46ff443202ed,39521,0.0
qwen3.6:latest,deepwater,7a1e007350f59527,21443,0.8
qwen3.6:latest,deepwater,02a36eeaf4de3fed,41697,0.2
qwen3.6:latest,deepwater,cb13abc0e602e1d3,21072,0.8
qwen3.6:latest,deepwater,ccc99455d2136ced,8917,0.6
gemma4:latest,deepwater,8f8766c2304b7f80,698,0.8
qwen3.6:latest,deepwater,fa6fa9360b97a854,129213,0.2
qwen3.6:latest,deepwater,348720498ac46980,94646,0.2
qwen3.6:latest,deepwater,ba0d577246b2d4e1,65365,0.2
qwen3.6:latest,deepwater,816693302331e005,60629,0.2
qwen3.6:latest,deepwater,fbd31af291bee2c4,27652,0.4
qwen3.6:latest,deepwater,92e98ba798830108,33377,0.4
qwen3.6:latest,deepwater,6109b5c8544db89e,32597,0.4
gemma4:latest,deepwater,93b1efb9b0190a90,1521,1.0
gemma4:latest,deepwater,d4bf61f86b7f43f9,1126,1.0
qwen3.6:latest,deepwater,77e0b26d6be488ca,24443,0.9
qwen3.6:latest,deepwater,ad1d0c2c3f760339,26010,0.6
qwen3.6:latest,deepwater,a7550552c0395edf,25372,0.8
qwen3.6:latest,deepwater,e80f301231c03eb5,30263,0.4
qwen3.6:latest,deepwater,2aed9f5ceb0d4ef5,93927,0.2
qwen3.6:latest,deepwater,37a3042103b40d4d,92058,0.2
qwen3.6:latest,deepwater,f85c663e53990930,57521,0.2
qwen3.6:latest,deepwater,2fdb74a46e6c6164,38983,0.4
qwen3.6:latest,deepwater,903381274ce57bd1,29985,0.8
qwen3.6:latest,deepwater,6f49de98e931e84b,59724,0.0
qwen3.6:latest,deepwater,6ad3dd0c3f431874,62888,0.4
qwen3.6:latest,deepwater,f17331f2a61055fb,11679,0.4
qwen3.6:latest,deepwater,e40961f17f905e12,52267,0.2
qwen3.6:latest,deepwater,3345ef955c76a87d,37118,0.2
qwen3.6:latest,deepwater,f6af448f2b101fbd,58992,0.4
qwen3.6:latest,deepwater,b466b772db978b61,18747,0.8
qwen3.6:latest,deepwater,49347fa7f3dd4982,16726,0.8
qwen3.6:latest,deepwater,b30452d4d37551ea,12597,0.8
qwen3.6:latest,deepwater,adeafd1c9f56022c,12955,0.6
qwen3.6:latest,deepwater,8477a4927f2e98ba,6438,0.9
qwen3.6:latest,deepwater,5849457e28d2dd47,84166,0.2
qwen3.6:latest,deepwater,575c269c2a40911e,90836,0.2
qwen3.6:latest,deepwater,a3d9bc4c3eeee68c,14996,1.0
qwen3.6:latest,deepwater,f4561f0f5f4d07aa,13581,0.8
qwen3.6:latest,deepwater,658b4bf748124550,12846,0.8
qwen3.6:latest,deepwater,e7744ce952e46afc,5719,0.6
qwen3.6:latest,deepwater,02e63a2f2fc247d0,61720,0.4
qwen3.6:latest,deepwater,d8f52fc0bab5592e,49184,0.2
qwen3.6:latest,deepwater,2c17d50233c19bfe,49489,0.4
qwen3.6:latest,deepwater,3e7889d6260c53ba,26861,0.8
qwen3.6:latest,deepwater,986285ce2700d8a6,17503,0.6
qwen3.6:latest,deepwater,423c4ea171279761,10255,1.0
qwen3.6:latest,deepwater,cfa11d9c3a649e71,14582,0.8
qwen3.6:latest,deepwater,fd864b64a6209418,19339,0.6
qwen3.6:latest,deepwater,07096bbe6a1a7e2b,14090,0.8
qwen3.6:latest,deepwater,58f88770f6aded5c,12078,0.8
qwen3.6:latest,deepwater,8ebc4c9e210a22f8,7576,0.8
qwen3.6:latest,deepwater,4c6632acb49850d6,20455,0.8
qwen3.6:latest,deepwater,e930ca525bacc27f,6902,0.6
qwen3.6:latest,deepwater,7baed1f1f71e323a,70057,0.2
qwen3.6:latest,deepwater,0bd12d25e7d6913f,10463,1.0
qwen3.6:latest,deepwater,502437db373383b9,87610,0.2
qwen3.6:latest,deepwater,6530c89657cfb4df,76775,0.2
qwen3.6:latest,deepwater,b8b9dbaa58b0b2a2,4534,0.8
qwen3.6:latest,deepwater,1be319f52bc7794b,84011,0.2
qwen3.6:latest,deepwater,7888c4134cc98bc6,39089,0.4
qwen3.6:latest,deepwater,7ca2a2ba98e8ba8b,2495,0.8
qwen3.6:latest,deepwater,445be14601e8bbb4,16710,0.6
qwen3.6:latest,deepwater,b2393b52ce6c4f8c,1088,0.6
qwen3.6:latest,deepwater,0b6450551fc145bd,57258,0.4
qwen3.6:latest,deepwater,fb5832b1c605abbe,1265,0.8
qwen3.6:latest,deepwater,9d01de1c463b0fbb,2132,0.8
qwen3.6:latest,deepwater,f83d5bff2570c20c,1205,0.8
qwen3.6:latest,deepwater,29fbe5b2a9cdcbd1,1652,0.6
qwen3.6:latest,deepwater,d4bf61f86b7f43f9,1126,1.0
qwen3.6:latest,deepwater,82eae29747e859c5,3448,0.8
qwen3.6:latest,deepwater,c708a2c263b5ce96,1559,0.6
qwen3.6:latest,deepwater,61740f98a6d09f53,2472,0.8
qwen3.6:latest,deepwater,467a66e3a5d1e345,3781,0.8
qwen3.6:latest,deepwater,8a994897a17d8633,940,0.8
qwen3.6:latest,deepwater,896a1863dd0562b6,2098,0.8
qwen3.6:latest,deepwater,b48156ea8c0a4912,8825,0.6
qwen3.6:latest,deepwater,927fdd5d68a13c76,5158,0.8
qwen3.6:latest,deepwater,757ca0cd7d1e3dd3,1880,0.6
qwen3.6:latest,deepwater,e6229fb9d86212a3,1114,0.8
qwen3.6:latest,deepwater,4eb2e0c8ddd332bf,19830,0.8
qwen3.6:latest,deepwater,947e4610d64a8916,1194,0.8
qwen3.6:latest,deepwater,7d690486a9516776,2056,0.8
qwen3.6:latest,deepwater,d30a50ac7d29dab1,2929,0.8
qwen3.6:latest,deepwater,aa56b83051de4c93,739,1.0
qwen3.6:latest,deepwater,4f982dfe7069d046,2659,0.6
qwen3.6:latest,deepwater,269c15d175b31c53,6689,0.8
qwen3.6:latest,deepwater,732a9f485d90599c,2933,0.8
qwen3.6:latest,deepwater,6c0b1e7f7de25467,762,0.8
qwen3.6:latest,deepwater,cd376d7b05c16119,581,0.8
qwen3.6:latest,deepwater,f29cfabfdec0ce2e,667,0.6
qwen3.6:latest,deepwater,ef8cb732719a31a9,18627,0.6
qwen3.6:latest,deepwater,9c3549642901c7e1,2324,0.8
qwen3.6:latest,deepwater,7c2057e4cb777482,593,0.8
qwen3.6:latest,deepwater,fc9b9631d8a881a0,944,0.8
qwen3.6:latest,deepwater,20b0bbf1c1e7b842,835,0.8
qwen3.6:latest,deepwater,f620043b541185e7,503,0.8
qwen3.6:latest,deepwater,02fad2c24aa64146,57614,0.2
qwen3.6:latest,deepwater,090c12c71a57eea9,896,0.8
qwen3.6:latest,deepwater,0a040ce02baea0c0,797,0.8
qwen3.6:latest,deepwater,05e962961e864ff4,2464,0.6
qwen3.6:latest,deepwater,08837ee9084057e5,7788,0.6
qwen3.6:latest,deepwater,109dcc0cca5141f1,37266,0.2
qwen3.6:latest,deepwater,1b30c02dad523501,69552,0.0
qwen3.6:latest,deepwater,1387e59928e190df,34576,0.2
qwen3.6:latest,deepwater,1331bc288059434f,3987,0.8
qwen3.6:latest,deepwater,1bde1d2b9bf55ef6,1582,0.8
qwen3.6:latest,deepwater,128df24fe407b3f6,589,0.8
qwen3.6:latest,deepwater,2301c8025d4cfc55,7811,0.6
qwen3.6:latest,deepwater,1f1a08b291f9ff92,4484,0.6
qwen3.6:latest,deepwater,140a70ee3e93ba11,6612,0.4
qwen3.6:latest,deepwater,2b7f09404acf6db7,26243,0.8
qwen3.6:latest,deepwater,30f2b3fe9afa1dd8,119122,0.0
qwen3.6:latest,deepwater,3052d859aa2275aa,14575,0.8
qwen3.6:latest,deepwater,31c6b3277cd42ea1,789,0.8
qwen3.6:latest,deepwater,2efb01a28bf80931,8482,0.8
qwen3.6:latest,deepwater,373a4663b87fc0f2,14191,0.8
qwen3.6:latest,deepwater,37ede2181d67b068,748,1.0
gemma4:latest,deepwater,57a805370ea0737e,598,0.6
qwen3.6:latest,deepwater,3cb7d5d442bca0be,10264,0.8
qwen3.6:latest,deepwater,3f9f00be54ca44ff,1539,1.0
qwen3.6:latest,deepwater,4140c397caa5bb5c,1094,1.0
qwen3.6:latest,deepwater,3fee926e3411eb82,5463,0.8
qwen3.6:latest,deepwater,414c6467b7793a14,3062,0.8
qwen3.6:latest,deepwater,46717a20176e4cbf,1763,0.8
qwen3.6:latest,deepwater,5b9a72563d14a2e3,7237,1.0
qwen3.6:latest,deepwater,4c8e024fce3fc5d9,678,0.8
qwen3.6:latest,deepwater,4d0a20e2088f2902,5517,0.6
qwen3.6:latest,deepwater,500c8c0456b3da81,2233,0.6
qwen3.6:latest,deepwater,53e1febec460a636,1762,0.8
qwen3.6:latest,deepwater,57a805370ea0737e,598,0.4
qwen3.6:latest,deepwater,5a7fae1db3eaf41d,40582,0.2
qwen3.6:latest,deepwater,57f538fc8d639dba,3292,0.8
qwen3.6:latest,deepwater,5a4ad8682359eb86,28080,0.8
qwen3.6:latest,deepwater,6e9d503c40339dfd,1129,0.8
qwen3.6:latest,deepwater,75bebcdea7ad2b84,7906,0.8
qwen3.6:latest,deepwater,76bd73e58e51bdcc,9346,1.0
qwen3.6:latest,deepwater,6e7bce3c71a5a346,24226,0.8
qwen3.6:latest,deepwater,8f8766c2304b7f80,698,1.0
qwen3.6:latest,deepwater,8ec0931590a4871d,5138,0.8
qwen3.6:latest,deepwater,91f9bca1699c6c26,4361,0.8
qwen3.6:latest,deepwater,90a1b78cc415388d,3265,0.8
qwen3.6:latest,deepwater,6f380c4197aa3761,2691,0.6
qwen3.6:latest,deepwater,7732fbb500ec06a3,3628,1.0
qwen3.6:latest,deepwater,781b5bb2afb78c18,7117,0.8
qwen3.6:latest,deepwater,77a98f2d0b4c33d2,5332,0.8
qwen3.6:latest,deepwater,76c692a42b95b7b1,3647,0.8
qwen3.6:latest,deepwater,7c180ccb51507a6b,3322,0.8
qwen3.6:latest,deepwater,93b1efb9b0190a90,1521,1.0
qwen3.6:latest,deepwater,c6d5ba1bd4e6319a,2895,0.6
qwen3.6:latest,deepwater,9abd149f6b150fc0,782,1.0
qwen3.6:latest,deepwater,a5bea2c6a345eb2b,2021,0.8
qwen3.6:latest,deepwater,a77d7de7a45d464b,5323,1.0
qwen3.6:latest,deepwater,a91421549f5624aa,1877,1.0
qwen3.6:latest,deepwater,a96d9a6d1362e443,1572,0.8
qwen3.6:latest,deepwater,b05bd40ee63cec42,4371,1.0
qwen3.6:latest,deepwater,b785ceb18735e949,98760,0.2
qwen3.6:latest,deepwater,aebfaeb53a59f2d0,15063,0.8
qwen3.6:latest,deepwater,b86d814dda4f6836,5952,1.0
qwen3.6:latest,deepwater,c54798a03a2a8160,1981,1.0
qwen3.6:latest,deepwater,c56aa1a34ae3b03b,1371,1.0
qwen3.6:latest,deepwater,edfbc4f45d53acc0,69035,0.4
qwen3.6:latest,deepwater,f692fb9c8035587d,11752,0.6
qwen3.6:latest,deepwater,f9ca7b14f88913dc,9655,0.8
qwen3.6:latest,deepwater,bb615c74b0b0f8ea,5254,0.6
qwen3.6:latest,deepwater,d3a6d35adba1a4f7,6032,0.8
qwen3.6:latest,deepwater,d8dc63cb1255ae10,32533,0.4
qwen3.6:latest,deepwater,d8d4ee7faa03eca8,10040,0.6
qwen3.6:latest,deepwater,d6cb3396f5d47c1a,1547,0.9
qwen3.6:latest,deepwater,ebc73fb557352fdf,1098,0.8
qwen3.6:latest,deepwater,f01bd980db82a7ea,1233,0.8
qwen3.6:latest,deepwater,d87419496c631609,8507,0.8
gemma4:latest,deepwater,f620043b541185e7,503,0.8
qwen3.6:latest,deepwater,fc951608c7a4ae12,2911,0.8
qwen3.6:latest,deepwater,ed08ed79e283306c,3115,0.8
gemma4:latest,deepwater,7c2057e4cb777482,593,0.8
gemma4:latest,deepwater,f29cfabfdec0ce2e,667,0.6
gemma4:latest,deepwater,20b0bbf1c1e7b842,835,0.4
gemma4:latest,deepwater,4c8e024fce3fc5d9,678,0.8
gemma4:latest,deepwater,947e4610d64a8916,1194,0.8
gemma4:latest,deepwater,b2393b52ce6c4f8c,1088,0.2
gemma4:latest,deepwater,0a040ce02baea0c0,797,0.8
gemma4:latest,deepwater,090c12c71a57eea9,896,0.8
gemma4:latest,deepwater,f83d5bff2570c20c,1205,0.6
gemma4:latest,deepwater,6e9d503c40339dfd,1129,0.8
gemma4:latest,deepwater,e6229fb9d86212a3,1114,0.8
gemma4:latest,deepwater,4140c397caa5bb5c,1094,0.6
gemma4:latest,deepwater,fc9b9631d8a881a0,944,0.8
gemma4:latest,deepwater,a96d9a6d1362e443,1572,0.4
gemma4:latest,deepwater,8a994897a17d8633,940,0.4
gemma4:latest,deepwater,d6cb3396f5d47c1a,1547,0.8
gemma4:latest,deepwater,c56aa1a34ae3b03b,1371,0.8
gemma4:latest,deepwater,46717a20176e4cbf,1763,0.8
gemma4:latest,deepwater,3f9f00be54ca44ff,1539,0.8
gemma4:latest,deepwater,fb5832b1c605abbe,1265,0.8
gemma4:latest,deepwater,7d690486a9516776,2056,0.6
gemma4:latest,deepwater,a91421549f5624aa,1877,0.8
gemma4:latest,deepwater,500c8c0456b3da81,2233,0.6
gemma4:latest,deepwater,fc951608c7a4ae12,2911,0.6
gemma4:latest,deepwater,53e1febec460a636,1762,0.8
gemma4:latest,deepwater,896a1863dd0562b6,2098,0.4
gemma4:latest,deepwater,9d01de1c463b0fbb,2132,0.6
gemma4:latest,deepwater,a5bea2c6a345eb2b,2021,0.8
gemma4:latest,deepwater,c6d5ba1bd4e6319a,2895,0.6
gemma4:latest,deepwater,d30a50ac7d29dab1,2929,0.8
gemma4:latest,deepwater,7c180ccb51507a6b,3322,0.8
gemma4:latest,deepwater,57f538fc8d639dba,3292,0.6
gemma4:latest,deepwater,6f380c4197aa3761,2691,0.4
gemma4:latest,deepwater,732a9f485d90599c,2933,0.6
gemma4:latest,deepwater,7ca2a2ba98e8ba8b,2495,0.8
gemma4:latest,deepwater,ed08ed79e283306c,3115,0.6
gemma4:latest,deepwater,1331bc288059434f,3987,0.8
gemma4:latest,deepwater,4f982dfe7069d046,2659,0.4
gpt-oss:latest,bywater,913fc11397eea3bc,665,0.8
qwen3.6:latest,deepwater,913fc11397eea3bc,665,0.8
